tripid,bikeid,starttime,stoptime,tripduration,O_id,O_name,O_lat,O_lon,D_id,D_name,D_lat,D_lon,usertype,gender,birth
7673,107,53427,53839,412.0,305,Western Ave & Division St,41.902893,-87.687275,510,Spaulding Ave & Division St,41.902706594,-87.709219571,Subscriber,Male,1995
7674,2186,53433,53640,207.0,210,Ashland Ave & Division St,41.90345,-87.667747,130,Damen Ave & Division St,41.903266,-87.678435,Subscriber,Male,1993
7675,5620,53435,55095,"1,660.0",175,Wells St & Polk St,41.872596,-87.633502,145,Mies van der Rohe Way & Chestnut St,41.898586651,-87.621915226,Subscriber,Male,1987
7676,736,53438,55256,"1,818.0",376,Artesian Ave & Hubbard St,41.88949182,-87.688219365,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,Subscriber,Male,1991
7677,3434,53441,58372,"4,931.0",35,Streeter Dr & Grand Ave,41.892278,-87.612043,199,Wabash Ave & Grand Ave,41.891466,-87.626761,Customer,,
7678,5491,53438,61223,"7,785.0",330,Lincoln Ave & Addison St,41.946176,-87.673308,62,McCormick Place,41.851375173,-87.618834649,Customer,Male,1965
7679,5515,53441,54904,"1,463.0",177,Theater on the Lake,41.926277,-87.630834,35,Streeter Dr & Grand Ave,41.892278,-87.612043,Customer,,
7680,5994,53443,55213,"1,770.0",233,Sangamon St & Washington Blvd (*),41.883165,-87.6511,233,Sangamon St & Washington Blvd (*),41.883165,-87.6511,Subscriber,Female,1978
7681,1494,53443,53624,181.0,29,Noble St & Milwaukee Ave,41.90068,-87.6626,333,Ashland Ave & Blackhawk St,41.907066,-87.667252,Subscriber,Male,1990
7682,5336,53445,54900,"1,455.0",177,Theater on the Lake,41.926277,-87.630834,35,Streeter Dr & Grand Ave,41.892278,-87.612043,Customer,,
7683,6109,53446,54057,611.0,195,Columbus Dr & Randolph St,41.884728,-87.619521,36,Franklin St & Jackson Blvd,41.877707956,-87.635321141,Subscriber,Male,1985
7684,1435,53449,54345,896.0,491,Talman Ave & Addison St,41.946635831,-87.694614758,222,Milwaukee Ave & Rockwell St,41.920195,-87.693033,Subscriber,Female,1993
7685,3671,53450,53847,397.0,176,Clark St & Elm St,41.902973,-87.63128,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,Subscriber,Male,1986
7686,523,53456,54904,"1,448.0",177,Theater on the Lake,41.926277,-87.630834,35,Streeter Dr & Grand Ave,41.892278,-87.612043,Customer,,
7687,522,53461,54352,891.0,491,Talman Ave & Addison St,41.946635831,-87.694614758,222,Milwaukee Ave & Rockwell St,41.920195,-87.693033,Subscriber,Male,1986
7688,4707,53465,58372,"4,907.0",35,Streeter Dr & Grand Ave,41.892278,-87.612043,199,Wabash Ave & Grand Ave,41.891466,-87.626761,Customer,,
7689,1533,53464,54918,"1,454.0",157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,459,Lakefront Trail & Bryn Mawr Ave,41.984036696,-87.652310469,Subscriber,Female,1991
7690,5549,53466,53644,178.0,67,Sheffield Ave & Fullerton Ave,41.925601882,-87.653708042,188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,Subscriber,Male,1963
7691,2166,53473,54650,"1,177.0",374,Western Ave & Walton St,41.898417689,-87.686596016,217,Racine Ave (May St) & Fulton St,41.886926,-87.656919,Subscriber,Female,1988
7692,70,53475,54153,678.0,85,Michigan Ave & Oak St,41.90096039,-87.62377664,141,Clark St & Lincoln Ave,41.915689,-87.6346,Customer,,
7693,1194,53475,54018,543.0,44,State St & Randolph St,41.884730201,-87.627733569,198,Green St & Madison St,41.881892,-87.648789,Subscriber,Male,1985
7694,3598,53482,55668,"2,186.0",314,Ravenswood Ave & Berteau Ave,41.957921,-87.673567,301,Clark St & Schiller St,41.907993,-87.631501,Subscriber,Female,1979
7695,2287,53488,55233,"1,745.0",268,Lake Shore Dr & North Blvd,41.911722,-87.626804,312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,Customer,Female,1993
7696,465,53490,54239,749.0,52,Michigan Ave & Lake St,41.886024,-87.624117,85,Michigan Ave & Oak St,41.90096039,-87.62377664,Customer,,
7697,1167,53495,56037,"2,542.0",112,Green St & Randolph St,41.883668,-87.64867,244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,Subscriber,Female,1980
